EU I-ORG
rejects O
German I-MISC
call O
to O
boycott O
British I-MISC
lamb O
. O

Peter I-PER
Blackburn I-PER

BRUSSELS I-LOC
1996-08-22 O

The O
European I-ORG
Commission I-ORG
said O
on O
Thursday O
it O
disagreed O
with O
German I-MISC
advice O
to O
consumers O
to O
shun O
British I-MISC
lamb O
until O
scientists O
determine O
whether O
mad O
cow O
disease O
can O
be O
transmitted O
to O
sheep O
. O

Germany I-LOC
's O
representative O
to O
the O
European I-ORG
Union I-ORG
's O
veterinary O
committee O
Werner I-PER
Zwingmann I-PER
said O
on O
Wednesday O
consumers O
should O
buy O
sheepmeat O
from O
countries O
other O
than O
Britain I-LOC
until O
the O
scientific O
advice O
was O
clearer O
. O
